CASEID,sharkbite,hunt_fish,scientists,education,ideology,urbanrural
200015,0,1,100,6,6,city
200022,0,0,70,3,4,suburb
200039,0,0,100,2,2,suburb
200046,0,0,85,4,3,small town
200053,0,1,60,8,5,city
200060,0,0,85,3,4,suburb
200084,0,1,85,4,4,small town
200091,0,0,,2,,small town
200107,0,0,60,2,,small town
200114,0,1,50,4,,suburb
200121,0,0,85,2,,city
200138,0,1,100,2,4,small town
200152,0,0,70,2,6,city
200169,0,0,70,7,3,suburb
200176,0,0,70,3,4,small town
200183,0,1,70,3,6,small town
200190,0,0,80,6,3,suburb
200206,0,0,85,6,3,small town
200220,0,0,85,6,2,suburb
200244,0,0,100,2,3,suburb
200268,0,1,80,7,6,small town
200275,0,0,,1,4,rural
200282,0,0,80,6,2,city
200305,1,0,50,7,6,city
200312,0,0,70,1,,city
200329,0,0,75,6,2,suburb
200343,0,0,85,1,,suburb
200374,0,0,60,6,5,suburb
200381,0,0,90,8,5,rural
200404,0,0,70,2,4,suburb
200411,0,0,15,2,,suburb
200435,0,1,50,3,4,small town
200442,0,1,85,7,2,city
200459,0,0,50,6,6,small town
200466,0,0,100,8,2,city
200473,0,0,85,6,,suburb
200480,0,0,85,5,,city
200497,0,0,100,8,1,suburb
200503,0,0,100,7,1,small town
200510,0,0,70,6,6,suburb
200527,0,0,50,6,6,suburb
200534,0,0,65,5,4,city
200541,0,0,100,7,7,city
200558,0,0,40,6,7,small town
200565,0,0,50,5,3,small town
200589,0,1,90,2,6,rural
200596,0,0,85,4,2,small town
200602,0,1,90,6,3,rural
200626,0,0,60,6,4,city
200633,0,1,85,7,6,suburb
200640,0,0,70,4,4,city
200671,0,0,100,7,2,city
200688,,,,1,4,
200695,0,0,0,2,,city
200701,0,1,50,5,4,rural
200718,,,,3,6,
200725,0,1,90,7,3,suburb
200732,0,0,90,7,3,city
200749,0,0,85,2,4,small town
200756,0,1,50,2,6,small town
200763,0,0,85,6,5,suburb
200770,0,0,75,7,4,small town
200787,0,0,100,8,2,city
200794,0,0,90,7,2,suburb
200800,0,0,100,6,2,suburb
200817,0,0,100,4,4,city
200824,0,0,100,3,5,small town
200831,0,0,100,7,1,city
200855,0,0,90,8,2,city
200862,0,0,70,8,2,small town
200879,0,0,86,7,2,small town
200886,0,1,85,4,3,rural
200893,0,0,100,3,,small town
200909,0,0,70,2,,city
200916,0,1,85,3,6,small town
200947,0,0,85,3,,suburb
200954,0,0,70,1,4,city
200985,0,1,9,7,2,suburb
201001,0,1,70,3,4,suburb
201025,0,0,100,2,5,rural
201032,0,0,70,6,5,small town
201063,0,0,70,3,7,city
201070,0,0,90,6,2,small town
201087,0,0,85,3,,city
201094,0,0,85,6,3,city
201100,0,0,85,4,4,city
201117,0,0,80,7,4,suburb
201124,0,0,100,6,3,small town
201131,0,0,85,2,,suburb
201155,0,0,85,6,5,city
201179,0,0,100,7,5,city
201186,0,1,85,6,2,suburb
201193,0,1,50,4,7,small town
201209,0,0,85,2,3,city
201216,0,1,85,6,5,small town
201223,0,0,70,7,6,suburb
201230,0,1,100,3,3,small town
201247,0,0,100,6,4,suburb
201254,0,0,100,6,3,small town
201261,0,0,70,3,4,small town
201278,0,1,100,2,2,small town
201285,0,0,100,2,3,suburb
201292,0,0,85,7,2,suburb
201322,0,1,60,4,6,small town
201339,0,0,51,6,6,rural
201346,0,0,85,1,2,small town
201353,0,0,70,2,7,rural
201360,0,0,70,2,5,small town
201377,0,0,50,5,6,small town
201384,0,1,70,3,4,rural
201391,,,50,,6,
201407,0,0,85,8,6,small town
201421,0,0,60,2,4,small town
201438,0,0,40,3,6,rural
201445,0,0,85,6,3,city
201469,0,0,100,7,4,small town
201476,0,0,85,5,4,city
201506,0,1,50,7,6,suburb
201513,0,0,100,3,,city
201520,0,0,85,7,6,suburb
201537,0,0,70,7,6,rural
201544,0,0,50,3,,city
201551,,,,1,1,
201568,0,0,60,3,,city
201575,0,1,30,2,5,rural
201599,0,1,99,2,4,rural
201605,0,0,100,6,2,suburb
201629,0,1,50,2,6,small town
201636,0,0,100,7,3,suburb
201650,0,1,100,3,,rural
201674,0,0,85,8,2,suburb
201681,0,1,90,3,6,city
201711,0,0,15,6,6,suburb
201728,0,1,70,6,6,rural
201759,0,1,85,8,2,rural
201766,0,0,100,2,6,city
201773,0,1,100,6,5,suburb
201780,0,0,85,7,7,suburb
201797,0,0,100,3,5,small town
201803,0,0,50,6,3,small town
201810,0,0,50,2,4,small town
201827,0,0,100,4,4,city
201834,0,0,100,4,,suburb
201841,0,0,100,7,2,suburb
201858,0,0,70,3,6,city
201865,0,0,85,7,4,small town
201872,0,0,100,8,1,small town
201889,,,,3,4,
201896,0,0,70,3,4,suburb
201902,0,1,85,7,2,suburb
201919,0,0,85,3,6,small town
201926,,,,2,3,
201971,0,0,50,1,3,rural
201988,,,,6,,
201995,0,1,85,3,6,rural
202004,0,0,70,6,5,rural
202011,0,1,75,3,6,rural
202042,0,0,100,7,2,city
202097,0,0,60,2,7,small town
202103,0,1,85,2,,city
202127,0,0,100,2,7,small town
202141,,,85,7,6,suburb
202172,0,0,100,2,,small town
202189,0,0,100,,2,city
202196,,,,4,2,
202202,0,1,100,6,2,city
202257,0,1,40,2,6,rural
202271,0,0,100,2,4,rural
202288,0,1,70,3,4,city
202301,0,0,85,3,4,suburb
202318,0,1,85,7,6,rural
202325,0,0,100,8,2,city
202332,0,0,95,7,2,city
202356,0,0,85,6,,city
202363,0,0,90,7,2,suburb
202370,0,0,90,6,4,suburb
202387,,,,6,4,
202400,0,0,100,3,1,suburb
202417,0,1,100,2,,rural
202431,0,1,70,2,6,suburb
202455,0,0,100,7,6,city
